ID,Proposal title,Proposal state,Pending proposal state,Session type,Track,created,Tags,Abstract,Description,Notes,Internal notes,Duration,Slot Count,Language,Show this session in public list of featured sessions.,Don't record this session.,Session image,Speaker IDs,Speaker names,Room,Start,End,Median score,Average (mean) score,Resources,Abstract as a tweet,Category [High Performance Computing],"Category [Community, Education, and Outreach]",Category [Machine and Deep Learning],Category [Scientific Applications],Category [Data Science and Visualization],Expected audience expertise: Domain,Expected audience expertise: Python,Talk submissions only : Would you be prepared to do a poster as fallback,Public link to supporting material,Project Homepage / Git
3D7SAQ,Model Documentation: The Keystone towards Inclusivity and Accessibility,confirmed,,Talk (15 mins + Q&A),"Community, Education, and Outreach",2023-04-30T21:43:22.635463+00:00,request as poster,"The use of AI documentation such as repository cards (model and dataset cards), as a means of transparently discussing ethical and inclusive problems that could be found within the outputs and/or during the creation of AI artefacts, with the aim of inclusivity, fairness and accountability, has increasingly become part of the ML discourse. As limitations and risks centred documentation approaches have become more standard and anticipated with launches of new development e.g Chatgpt/GPT-4 system card and other LLM model cards. 

This talk highlights the inclusive approaches that the broader open source community could explore when thinking about their aims when creating documentation.","In this talk we will first cover some of the current literature and standard approaches of documentation found within the open source community and within the ethical/ AI space. Building on this overview, we will then detail how to build on the strengths of the open source  community and its ability to bridge the gap between academia and research. From which we will map to more inclusive and ethics focused components found in AI model documentation practises, and how they could be incorporated within open source documentation methods. 

By the end of this talk we would have not only identified the limitations within current open source documentation practises, we will also explore how centering fairness, ethics and inclusivity can create richer documentation that is more wholly inclusive of the open source community it represents.",,,20,1,en,False,False,,AFB7PG,Ezi Ozoani,HS 120,2023-08-17T09:20:00+00:00,2023-08-17T11:40:00+02:00,2.00,1.8,,"Rethinking open source documentation: bridging academia & industry, while creating richer documentation that is wholly inclusive of the open source community.",,Learning and Teaching Scientific Python,,,,none,some,yes,,
3ENHXR,Exploring Geospatial data for Machine Learning using Google Earth Engine: An introduction,confirmed,,Talk (15 mins + Q&A),Scientific Applications,2023-06-02T06:33:24.473182+00:00,,"Have you ever wondered what type of data you can get about a certain location on the globe? What if I told you that you can access an enormous amount of information while sitting right there at your laptop? In this talk, I'll show you how to use Google Earth Engine to enrich your dataset. Either your exploring, or planning your next ML project, Geospatial data can provide you with a lot of information you did not know you had access to. Let me show you how!","This talk is aimed at Machine Learning Engineers, Data Scientists, and researchers that have good experience with Python. The goal is to teach these professsionals how they can leverage Google Earth Engine (GEE) to enrich and explore their datasets. By the end of this talk, I expect that the audience has a good grasp of what GEE is, and how they can use it in their next project!

We'll go through a small introduction of Geospatial data, and the different types of providers out there. I'll introduce Google Earth Engine and the Python API that has been recently in the works. Finally, I'll go over some use cases that users might explore, as well as some examples from the trenches. 

Here's the outline: 

- Geospatial data: What is it? 
- A miriad of providers: From LandSat, to Modius, to Sentinel 
- Bringing it all together: Google Earth Engine
- An intro to Google Earth Engine
- The Python API, how to use it? 
- Example: Enriching a dataset for carbon stock measurements in Farms
- Tips and tricks
- Where to go from here",,,20,1,en,True,False,,KZDHYW,Duarte Carmo,Aula,2023-08-17T09:20:00+00:00,2023-08-17T11:40:00+02:00,2.00,1.7,,Want to learn of to extract data from Satelites to enrich your dataset? Learn how to use Google Earth Engine with Python!,,,,Geo Science,,some,some,no,,
73E7GM,"The Graphic Server Protocol, a joint effort to facilitate the interoperability of Python scientific visualization libraries",confirmed,,Maintainer track,Data Science and Visualisation,2023-04-14T14:13:04.471197+00:00,,"The graphic server protocol is a proposal to mutualize efforts across scientific visualization libraries, languages and platforms such as to provide a unified intermediate-level protocol to render graphical primitives independently of the specifics of the high-level visualization interfaces.","Scientific figures, as complex as they might be, always end up being made of a (large) set of elementary graphical components, namely points (or markers), lines, glyphs (text), polygons, and volumes. Glyphs, markers and polygons can be further decomposed into triangles such that, apart from the specific case of 3D volume rendering, the elementary components of most scientific figures are essentially points, lines and triangles.

When designing a scientific figure, one rarely manipulates these components explicitly. Instead, one uses high-level plotting functions that ultimately produce these elementary components. What defines a scientific visualization library is the choice and the definition of these high-level functions. The library may provide high-level functions that allow them to quickly design a figure (e.g. [ggplot], [vega], [seaborn]), or lower-level functions that allows them to further tune the figure (e.g. [matplotlib], [vispy]). In the most extreme case, the user may even be provided a total freedom at the price of complexity ([TikZ]). There is no definitive one-size-fits-all API because some users prefer the simplicity of a high-level interface that makes most decisions transparently, while others prefer to have a total control of all aspects of the figure.

In all cases, however, the rendering task is the same: drawing points, lines, markers, glyphs, polygons, meshes and volumes as efficiently as possible, possibly taking advantage of low-level libraries and hardware. Ultimately, rendering represents significantly redundant efforts across visualization libraries, and it becomes increasingly complex when considering low-level hardware-accelerated graphics interfaces such as OpenGL, Metal, DirectX, or Vulkan. Our experience with the development of hardware-accelerated scientific visualization libraries such as [glumpy], galry, and [vispy] has shown that this complexity is a significant obstacle to the development of an efficient and scalable scientific visualization library in Python.

The graphic server protocol is a proposal to mutualize efforts across scientific visualization libraries, languages and platforms such as to provide a unified intermediate-level protocol to render graphical primitives independently of the specifics of the high-level visualization interfaces. The goal is not to provide yet another graphical library, but a foundational protocol-based architecture that any scientific visualization library can reuse.

During this talk, we will introduce the graphical server protocol we have designed and show a couple of early examples using two different rendering backends: matplotlib and [Datoviz] (which is based on Vulkan, a low-level interface for high-performance rendering and computing using GPUs). These two backends will render the same figure with the same visual quality using the same Python script, even though the Vulkan backend is expected to be significantly faster than the matplotlib one. Currently, the matplotlib instance can produce 3D graphics (meshes, surfaces and volumes) even though it is limited by the absence of a depth buffer that prevents proper sorting. The roadmap for the protocol is still largely open and we would like to gather feedback from developers of other scientific visualization libraries to potentially create an international steering group that could help define the roadmap.

[ggplot]: https://ggplot2.tidyverse.org/reference/ggplot.html
[vega]: https://vega.github.io/vega/
[seaborn]: https://seaborn.pydata.org/
[matplotlib]: https://matplotlib.org/
[vispy]: https://vispy.org/
[tikz]: https://en.wikibooks.org/wiki/LaTeX/PGF/TikZ
[Datoviz]: https://datoviz.org/
[glumpy]: http://glumpy.github.io/",,,45,1,en,False,False,,EGADXL,Nicolas Rougier,HS 119 - Maintainer track,2023-08-17T13:30:00+00:00,2023-08-17T16:15:00+02:00,1.50,1.2,,"The Graphic Server Protocol, a joint effort to facilitate the interoperability of Python scientific visualization libraries",,,,,Data Visualization,some,some,no,,
7P3AYM,PPML: Machine Learning on data you cannot see,confirmed,,Tutorial,Machine and Deep Learning,2023-06-20T13:05:58.908213+00:00,,"Privacy guarantee is **the** most crucial requirement when it comes to analyse sensitive data. However, data anonymisation techniques alone do not always provide complete privacy protection; moreover Machine Learning models could also be exploited to _leak_ sensitive data when _attacked_, and no counter-measure is applied. *Privacy-preserving machine learning* (PPML) methods hold the promise to overcome all these issues, allowing to train machine learning models with full privacy guarantees. In this tutorial we will explore several methods for privacy-preserving data analysis, and how these techniques can be used to safely train ML models _without_ actually seeing the data.","Privacy guarantees are **the** most crucial requirement when it comes to analyse sensitive data. These requirements could be sometimes very stringent, so that it becomes a real barrier for the entire pipeline. Reasons for this are manifold, and involve the fact that data could not be _shared_ nor moved from their silos of resident, let alone analysed in their _raw_ form. As a result, _data anonymisation techniques_ are sometimes used to generate a sanitised version of the original data. However, these techniques alone are not enough to guarantee that privacy will be completely preserved. Moreover, the _memoisation_ effect of Deep learning  models could be maliciously exploited to _attack_ the models, and _reconstruct_  sensitive information about samples used in training, even if these information were not originally provided. 

*Privacy-preserving machine learning* (PPML) methods hold the promise to overcome all those issues, allowing to train machine learning models with full privacy guarantees.

This workshop will be mainly organised in **two** main parts. In the first part,  we will focus on Machine learning demonstrating how DL models could be exploited (i.e. _inference attack_ ) to reconstruct original data solely analysing models predictions; and then we will explore how **differential privacy** can help us protecting the privacy of our model, with _minimum disruption_ to the original pipeline. 

In the second part we will considering more complex ML scenarios to train Deep learning networks on encrypted data, with specialised **distributed federated learning** strategies.",,,90,1,en,False,False,,7FNYLG,Valerio Maggio,Aula,2023-08-15T08:30:00+00:00,2023-08-15T12:00:00+02:00,,,,Privacy Preserving Machine Learning: ML on Data you cannot see,Parallel Computing,Learning and Teaching Scientific Python,Algorithmic bias and Trustworthy AI,Astronomy,Data Analysis and Data Engineering,some,some,,,
8NHQGJ,Predictive survival analysis and competing risk modeling with Gradient Boosted CIF,confirmed,,Poster,Machine and Deep Learning,2023-05-25T22:08:42.611428+00:00,,This tutorial is an introduction to our new survival analysis estimator called Gradient Boosted CIF. This model predicts cumulative incidence functions (CIF) in competing risk settings by leveraging scikit-learn's HistGradientBoostingClassifier.,"You probably already have encountered survival analysis problems in your data science problems. From predictive maintenance and biostatistics to marketing studies on churn, lifetime values, and upselling, there is a blooming field of application for time-to-event regression within the Python community.

What is the average time for a mechanical part to fail? What quantile of your marketing cohort will churn within the next six months? What are the patient's survival probability function curves through a clinical study? Conversely, what is the probability of incidence of each cause of death for different comorbidities?

To answer all these questions, we introduce the Gradient Boosted CIF, our new survival estimator named after its ability to predict cumulative incidence functions (CIF) in competing risk settings —in addition to regular survival probabilities functions. Under the hood, this estimator leverages the HistGradientBoostingClassifier of scikit-learn and is therefore adapted to scikit-learn pipelines.

We will illustrate how to use Gradient Boosted CIF from the hazardous library and compare its performances to alternatives like Random Survival Forest, XGBoost-based XGBSE models, and deep learning models like DeepHit. We will also detail its design and how to inspect it.",,,90,1,en,True,False,,QCVBZD,Vincent Maladiere,,,,2.00,1.8,,"Introducing Gradient Boosted CIF, survival analysis in competing risk settings with scikit-learn!",,,Supervised Learning,,,some,some,,https://github.com/soda-inria/survival-analysis-benchmark,https://github.com/soda-inria/hazardous
8ZANVV,"Sparse Data in the Scientific Python Ecosystem: Current Needs, Recent Work, and Future Improvements",confirmed,,Maintainer track,High Performance Computing,2023-05-14T20:26:00.747396+00:00,,"This maintainer track aims to lead discussions about the current needs for sparse data in the scientific python Ecosystem. It will present achievements and pursuit of the work initiated in the first Scientific Python Developer Summit, which took from 22nd May to 28th May 2023.","Sparse data refers to datasets where a high percentage of the values are zero or empty. Sparse arrays are one possible data structure for efficiently handling such datasets. Sparse Matrices from SciPy have been existing and have been used extensively within the scientific python ecosystem since its beginning.

While those foundational representations are still relevant for most use cases, edge cases and recent downstream libraries' needs remain to be considered. Moreover, the generalization of sparse matrices to sparse arrays comes with an important refactoring whose changes impact existing workflow and historical decisions and implementations.
 
This maintainer track aims to lead discussions about the current needs for sparse data in the scientific python Ecosystem. It will present achievements and pursuit of the work initiated in the first Scientific Python Developer Summit, which took from 22nd May to 28th May 2023.","For some information, the reader can refer to the following material:

 - https://scientific-python.org/summits/sparse/
 - https://github.com/scientific-python/summit-2023/issues/2

More information will be available after the end of the first Scientific Python Developer Summit (i.e. 28th May 2023).",,45,1,en,False,False,,PHNY9R,Julien Jerphanion,HS 119 - Maintainer track,2023-08-16T11:30:00+00:00,2023-08-16T14:15:00+02:00,2.00,2.0,,"Sparse Data in the Scientific Python Ecosystem: Current Needs, Recent Work, and Future Improvements",Vector and Array Manipulation,,,,,some,some,no,https://scientific-python.org/summits/sparse/,
98ZVJH,"Build Drug Discovery web applications with PyScript, Ketcher and rdkit",confirmed,,Talk (15 mins + Q&A),Scientific Applications,2023-05-09T08:58:44.256606+00:00,,"So you don't know JavaScript but know how to use python? Do you want to build an app where you can draw molecules for some application like properties prediction? Then come to this talk where I'll show you how to use Ketcher, EPAM tool for small molecule drawing, PyScirpt and rdkit for your next drug discovery app.","In this talk, the speaker will demonstrate how to build an app using Ketcher, a tool for small molecule drawing, PyScript, and RDKit for drug discovery applications. Even if you don't know JavaScript, you can still learn how to create an app for predicting molecular properties by following this tutorial. With Ketcher's intuitive interface, you can draw small molecules easily, while PyScript provides the backend programming capabilities. RDKit is a powerful toolkit for working with chemical structures and can be used to predict molecular properties. By the end of this talk, you will have the skills necessary to develop a drug discovery app that could be used to predicts the properties of molecules. This talk is ideal for those interested in drug discovery, molecular modeling, and computational chemistry, as well as those who are comfortable with Python programming language.","My talk will be based on this blog post that I made half a year ago after PyCon sweden. https://churnikov.github.io/blog/pyscript-demo-with-molecules/

In addition to what is already present I want to add a demonstration on how to work with some backend service for molecule properties prediction or something else. The point is to show that it's possible to make a proper drug discovery app with just python.",,20,1,en,True,False,,LXQDTL,Nikita Churikov,HS 120,2023-08-17T08:30:00+00:00,2023-08-17T10:50:00+02:00,2.00,2.0,,"Want to build an app to predict molecule properties but don't know JavaScript? Learn how to with Ketcher, PyScript, and RDKit at my talk! #DrugDiscovery #MolecularModeling #PythonProgramming",,,,Drug Discovery,,some,some,yes,https://churnikov.github.io/blog/pyscript-demo-with-molecules/,https://churnikov.github.io/demo/pyketch/index.html
9VVRFQ,Developing pandas extensions in Rust,confirmed,,Tutorial,High Performance Computing,2023-07-26T05:31:35.791599+00:00,,"pandas is a batteries included dataframe library, implementing hundreds of generic operations for tabular data, such as math or string operations, aggregations and window functions... In some case, domain specific code may benefit from user defined functions (UDFs) that implement some particular logic. These functions can sometimes be implemented using more basic pandas vectorized operations, and they will be reasonably fast, but in some others a Python function working with the individual values needs to be implemented, and those will execute orders of magnitude slower than their equivalent vectorized  versions. In this tutorial we will see how to implement functions in Rust that can be used with dataframe values at the individual level, but run at the speed of vectorized code, and in some cases faster.","While this tutorial will cover complex topics of low level programming languages like Rust, it'll be presented for a beginner audience. No previous knowledge about Rust is required, or any other knowledge other than basic pandas understanding is needed to follow the tutorial.

The tutorial will cover how libraries developed in a low level programming language like Rust can be called from Python, the basics of the internal representation of pandas dataframes, the Apache Arrow C data interface, and how to write a simple function in Rust.

To be able to follow the hands on part of this tutorial, participants should bring their laptops and have a working Python with a recent version od pandas and PyArrow, and have a Rust compiler.",,,90,1,en,False,False,,SXWKLX,Marc Garcia,Aula,2023-08-14T11:30:00+00:00,2023-08-14T15:00:00+02:00,,,,Learn how to develop a high performant pandas extension in Rust from pandas core developer @datapythonista.,Vector and Array Manipulation,Learning and Teaching Scientific Python,Supervised Learning,Other,Data Analysis and Data Engineering,none,some,,,
A3EMMC,Python versioning in a changing world,confirmed,,Talk (15 mins + Q&A),Scientific Applications,2023-04-30T20:09:39.532269+00:00,,"Python versioning is a critical aspect of maintaining a consistent ecosystem of packages, yet it can be challenging to get right. In this talk, we will explore the difficulties of Python versioning, including the need for upper bounds, and discuss mitigation strategies such as lockfiles in the Python packaging ecosystem (pip, poetry, and conda / mamba). We will also highlight a new community effort to analyze Python libraries dynamically and statically to detect the symbols (or libraries) they are using. By analyzing symbol usage, we can predict when package combinations will start breaking with each other, achieving a high rate of correct predictions. Our goal is to gather more community inputs to create a robust compatibility matrix. Additionally, we are doing similar work in C/C++ using libabigail to address ABI problems.","Python versioning is crucial for ensuring compatibility between different packages, but it can be challenging to get right. In this talk, we will discuss the challenges of Python versioning and present mitigation strategies in different Python packaging systems (lockfiles in poetry and conda-lock, repodata patching in the conda-forge ecosystem). We then introduce a new community effort to analyze Python libraries dynamically and statically to detect the symbols (or libraries) they are using. 
By analyzing symbol usage, we can predict when package combinations will start breaking with each other, achieving a high rate of correct predictions. For this we are using the `caliper` tooling.

Our approach relies on building a compatibility matrix that takes into account the usage of symbols in Python libraries. We will discuss how this matrix can be used to help developers make informed decisions about which package combinations to use to avoid compatibility issues. We will also present some preliminary results showing the effectiveness of our approach.

In addition to Python, we are also working on similar efforts for C/C++ using libabigail to address ABI problems. We believe that this approach will be useful for developers across a wide range of industries and projects, and we are eager to gather more community inputs to further improve the accuracy of our compatibility matrix.

Overall, this talk will be of interest to anyone working with Python or C/C++ who wants to ensure compatibility between different packages and maintain a consistent ecosystem of tools and libraries. We look forward to sharing our work with the SciPy community and hearing your feedback and suggestions.",,,20,1,en,False,False,,M7CWJZ,Wolf Vollprecht,HS 120,2023-08-17T12:40:00+00:00,2023-08-17T15:00:00+02:00,2.00,1.6,,Predicting Python package compatibility with static analysis - first results!,,,,Other,,some,some,no,,https://github.com/vsoch/caliper
A8BJLV,"PyBAMM, an open-source Python package for battery simulation, contributes to a solid understanding of lithium-ion batteries degradation",confirmed,,Poster,Scientific Applications,2023-04-26T08:19:42.023875+00:00,,"Being able to predict the degradation (capacity and power fade) of lithium-ion batteries is critical for the procurement and asset management of batteries. Often, this exercise is undertaken using empirical or semi-empirical models, which blend out the degradation mechanisms in favour or computational speed and simplicity.

By using PyBaMM (an open source package for battery simulation), we build bottom-up understanding of the discrete ageing mechanisms that impact battery State-of-Health indicators. In addition, PyBaMM comes complete with validated sets of parameters for different chemistries, which accelerates the deployment of the model.","Battery energy storage systems play an important role in reducing carbon emissions by electrification. Accordingly, being able to perform simulations of battery systems (deployed in stationary or mobility applications) is fundamental. Understanding the electrochemical principles of batteries (including phenomena leading to degradation or ageing) is critical for optimizing the selection and procurement of these battery systems as well as for optimizing the operation of battery fleets at different time scales. 

PyBamm is an open-source Python-based battery simulation model (with a focus on lithium-ion chemistries) which implements various electrochemistry-based battery models such as Doyle-Fuller-Newman and covers degradation mechanisms.  The task of calibrating the input parameters required for an electrochemical model ist complicated beyond the scope of the current work. In this aspect, PyBaMM comes complete with validated parameter sets from literature.

In this presentation, we focus on comparing and integrating the results from a semi-empirical battery simulation model to the results obtained from PyBaMM. We argue in favour of cross-validating results: Bottom-up understanding of the phenomena simulated in a detailed PyBaMM model can reinforce the certainty -or lack thereof- from empirical models often used by engineers and consultants in large battery projects.",,,90,1,en,False,False,,QFBU3Z,Maria Kaninia,,,,1.50,1.5,,Python-PyBaMM used for simulating lithium-ion batteries with a concrete view of understanding degradation phenomena,,,,"Simulations (e.g., Physics, CFD, ESMs)",,none,some,yes,,
